#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id397	0	2.857142858	21.42857142	27.14285714	0	78.57142857	35.71428571	37.14285714	10
id398	60	2.857142858	81.42857143	31.42857143	0	92.85714285	8.571428572	25.71428571	77.14285714
id399	0	0	1.428571429	4.285714286	0	4.285714286	1.428571429	0	0
id4	0	0	16	0	0	0	0	0	2
id40	0	0	0	0	0	0	0	0	0
id400	11.42857143	0	37.14285714	18.57142857	0	5.714285714	2.857142857	7.142857143	5.714285714
id401	136.6666667	340	256.6666666	296.6666666	0	105	30	83.33333334	105
id402	0	0	0	0	0	0	0	0	0
id403	12.85714286	0	0	1.428571429	0	32.85714286	11.42857143	12.85714286	1.428571429
id404	0	2.857142857	0	0	0	0	8.571428571	1.428571429	0
id405	0	0	4.285714286	0	0	0	0	25.71428571	0
id406	3275.714285	0	2.857142857	1.428571429	0	44.28571429	81.42857143	278.5714285	0
id407	327.1428571	121.4285714	502.8571428	1041.428571	705.7142857	910	2485.714286	98.57142857	407.1428571
id41	0	0	0	0	0	0	0	0	0
id42	0	0	6755	7	2200	235	1012	0	369
id43	0	0	0	0	0	0	0	0	0
id44	0	0	0	0	0	0	0	0	0
id45	0	0	0	0	0	0	0	0	0
id46	0	0	72	0	1401	95	2337	0	47
id47	0	0	0	0	0	0	0	0	0
id48	0	0	0	0	0	0	0	0	0
id49	0	0	0	0	0	0	0	0	0
id5	0	5	0	0	0	0	29	0	1
id50	0	0	58	0	0	0	113	0	24
id51	0	0	0	0	0	9	0	0	0
id52	0	0	0	0	43	0	0	0	0
id53	0	0	587	0	0	0	35	0	0
id54	0	0	0	0	0	0	0	0	0
id55	0	0	0	0	0	0	0	0	0
id56	0	0	0	16	0	0	0	0	0
id57	0	0	0	0	0	0	0	0	0
id58	0	0	28	0	36	0	57	0	0
id59	0	0	0	0	0	0	0	0	0
id6	6398	3781	7868	5088	3180	644	9165	8986	4225
id60	0	0	0	0	0	0	0	0	0
id61	0	0	0	0	0	0	0	0	0
id62	0	0	0	7	0	0	0	0	0
id63	0	0	0	0	0	0	0	0	0
id64	0	0	0	0	90	2	0	0	0
id65	0	0	0	0	418	375	0	0	17269
id66	0	0	0	3	0	0	0	0	0
id67	0	0	518	0	0	2	30	0	0
id68	0	0	0	731	0	0	0	0	0
id69	0	0	0	0	0	0	0	0	0
id7	0	0	0	0	0	0	0	0	0
id70	316	1	39	0	131	2	42	3	0
id71	0	0	0	0	0	0	0	0	0
id72	806	390	40	20	3389	125	4	16272	1435
id73	0	0	126	0	6	7	5	0	4
id74	247	102	0	0	0	0	0	5369	0
id75	5	1	2295	0	11732	2098	390	2	4006
id76	0	0	0	0	0	0	0	0	0
id77	0	0	0	0	75	0	1	0	0
id78	0	0	6197	14747	5348	1181	12055	0	1642
id79	0	0	0	0	0	0	0	0	0
id8	0	0	0	0	0	0	0	0	0
id80	0	0	0	1	0	0	0	0	0
id81	0	0	0	2	0	0	0	0	0
id82	0	0	0	0	0	0	0	0	0
id83	0	0	0	0	27	0	0	0	1
id84	0	0	0	0	0	0	0	0	0
id85	0	0	0	0	0	0	0	0	0
id86	0	0	0	0	0	0	0	0	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	0	0	0	0
id89	0	0	0	0	0	0	0	0	0
id9	1	0	0	0	17014	0	3	0	5
id90	0	0	0	0	0	0	0	0	0
id91	0	0	0	0	0	0	0	0	0
id92	0	0	0	0	0	0	0	0	0
id93	0	0	0	0	0	0	0	0	0
id94	0	0	0	0	0	0	0	0	0
id95	0	0	0	0	0	0	0	0	0
id96	20	5	1074	0	175	1639	3091	130	243
id97	0	0	0	0	116	5143	0	0	80
id98	0	0	0	0	0	0	0	0	0
id99	0	0	0	0	74	5045	0	0	56
